filename,prediction,confidence
1872382287.ogg,"Outside, rural or natural",0.33405572
161691311.ogg,Environmental noise,0.45637837
884633066.ogg,"Outside, rural or natural",0.3880415
1675425185.ogg,Animal,0.33549005
1469579221.ogg,Owl,0.39910632
1564606141.ogg,Cricket,0.23087677
194233408.ogg,Environmental noise,0.6187973
2003586554.ogg,"Outside, rural or natural",0.35492024
1459749597.ogg,Animal,0.76106703
33854460.ogg,Environmental noise,0.39124963
1163678028.ogg,"Outside, rural or natural",0.33119646
1682474551.ogg,Insect,0.311992
825970922.ogg,Rustle,0.27413425
155341345.ogg,Cricket,0.3756198
162232595.ogg,Animal,0.35364786
1079370176.ogg,Environmental noise,0.2187908
1195851943.ogg,"Outside, rural or natural",0.2515173
1358642276.ogg,Animal,0.24731372
1907072584.ogg,Environmental noise,0.4356697
567584170.ogg,Animal,0.48402813
366413676.ogg,Rustle,0.313739
953535115.ogg,Animal,0.3101436
1276825800.ogg,Cricket,0.46156216
392462038.ogg,Environmental noise,0.425702
1529393790.ogg,"Outside, rural or natural",0.2829295
886324498.ogg,Animal,0.31889692
1992034592.ogg,Music,0.24186912
517658472.ogg,Animal,0.42164126
2006943074.ogg,Environmental noise,0.43316314
1090900626.ogg,Environmental noise,0.30068603
1574959233.ogg,Animal,0.39689383
869721194.ogg,Rustle,0.30656368
1431516142.ogg,"Outside, rural or natural",0.292839
976681827.ogg,Animal,0.106486745
1107065971.ogg,Environmental noise,0.31278265
1327249910.ogg,"Outside, rural or natural",0.27345225
899138719.ogg,Animal,0.31645116
468422210.ogg,Rustle,0.3257956
404679741.ogg,Animal,0.38017732
202487605.ogg,Animal,0.25325784
2124341110.ogg,Environmental noise,0.53612983
1917316129.ogg,"Outside, rural or natural",0.25787574
616895196.ogg,Animal,0.40670028
407345912.ogg,Environmental noise,0.48474297
729699330.ogg,Animal,0.24763581
1960322319.ogg,Animal,0.58780164
1091580967.ogg,Animal,0.17677905
102939799.ogg,Wild animals,0.37256873
1543543067.ogg,Environmental noise,0.5535625
231208838.ogg,Rustle,0.33351138
221768884.ogg,Animal,0.5758331
1307625378.ogg,Cricket,0.67314816
764668768.ogg,Wild animals,0.46436775
1660532331.ogg,White noise,0.1775931
289679953.ogg,Environmental noise,0.38459376
781106425.ogg,Animal,0.47495615
1149019801.ogg,Insect,0.4250172
35009303.ogg,Animal,0.23262097
364429768.ogg,Rustle,0.3055037
1893761533.ogg,Cricket,0.38969055
546141411.ogg,Environmental noise,0.49963325
445141331.ogg,Rustle,0.3151931
1437105432.ogg,Environmental noise,0.48783153
1875437269.ogg,Rustle,0.3316943
288944046.ogg,Cricket,0.28969362
1272288005.ogg,Environmental noise,0.50701535
387343877.ogg,Animal,0.46866155
1317826801.ogg,Cricket,0.36040282
607402993.ogg,Rustle,0.3927655
258913563.ogg,Environmental noise,0.4014559
1937754948.ogg,"Outside, rural or natural",0.2179779
1166085672.ogg,"Outside, rural or natural",0.34938717
1495694736.ogg,Animal,0.33977786
287074081.ogg,Animal,0.38184598
729686227.ogg,Environmental noise,0.3810497
646050778.ogg,Environmental noise,0.42561585
1416314972.ogg,Music,0.19048525
1708027486.ogg,Animal,0.2744473
1545657461.ogg,Animal,0.49976707
2062356391.ogg,Animal,0.3420107
1568355194.ogg,"Outside, rural or natural",0.15064754
2134857494.ogg,Animal,0.38527697
1508736579.ogg,Animal,0.23284042
240421798.ogg,"Outside, rural or natural",0.23747423
937448808.ogg,Music,0.43793455
872789155.ogg,Snake,0.19356927
