filename,prediction,confidence
5-257349-A-15.wav,Silence,0.22541152
5-195557-A-19.wav,Thunderstorm,0.8432025
2-122820-B-36.wav,Vehicle,0.7871337
1-115920-A-22.wav,Explosion,0.50871956
1-172649-C-40.wav,Animal,0.53103167
2-50668-A-41.wav,Vehicle,0.74906415
3-119120-E-48.wav,Explosion,0.62664515
1-223162-A-25.wav,Silence,0.96353525
3-119459-A-26.wav,Speech,0.22746368
2-120218-A-30.wav,Silence,0.4811789
3-144259-A-29.wav,Silence,0.39318696
1-94231-A-32.wav,Silence,0.57546145
3-115387-B-47.wav,Vehicle,0.59083074
4-209698-A-37.wav,Silence,0.6072446
4-165933-A-45.wav,Music,0.15143344
1-13613-A-37.wav,Fire alarm,0.39917517
4-157297-A-21.wav,Silence,0.49895
1-47250-B-41.wav,Vehicle,0.67257696
5-151085-A-20.wav,Groan,0.26928955
3-155130-A-43.wav,Rustle,0.22549365
1-181071-A-40.wav,Music,0.30237934
5-223099-B-32.wav,Percussion,0.17258811
2-82455-A-23.wav,Sound effect,0.18272002
1-46744-A-36.wav,Vehicle,0.71419734
5-261464-A-23.wav,Silence,0.15306742
4-117630-A-25.wav,"Walk, footsteps",0.14867926
4-204202-A-29.wav,Silence,0.44308758
2-188822-B-40.wav,Vehicle,0.3048502
4-156993-A-19.wav,Thunderstorm,0.47748342
2-60180-A-49.wav,Vehicle,0.24062523
5-117120-A-42.wav,Siren,0.59427744
5-197118-A-45.wav,Vehicle,0.22735131
3-155578-A-14.wav,Wild animals,0.23552819
3-126113-A-26.wav,Whale vocalization,0.28895205
3-87936-A-46.wav,Music,0.6211819
4-197871-A-15.wav,Silence,0.69200265
3-152912-A-26.wav,Silence,0.6074405
5-177957-A-40.wav,Crow,0.2000195
3-149042-A-24.wav,Silence,0.89292395
4-161127-A-10.wav,Vehicle,0.2764909
5-197121-A-45.wav,Vehicle,0.21829464
5-207811-A-35.wav,Vehicle,0.52969736
3-51376-A-42.wav,Gong,0.45736477
1-100210-A-36.wav,Jet engine,0.53221905
1-76831-B-42.wav,Siren,0.40611616
4-213193-A-29.wav,Stomach rumble,0.2606333
1-29680-A-21.wav,Silence,0.73179954
4-177835-A-24.wav,Silence,0.78617764
2-65747-A-12.wav,Vehicle,0.1191492
3-129264-A-9.wav,Vehicle,0.20428778
2-122067-A-45.wav,Vehicle,0.17565377
5-180156-C-43.wav,Vehicle,0.13876782
1-47250-A-41.wav,Vehicle,0.7699544
4-165845-A-45.wav,"Thump, thud",0.18781234
3-94355-A-33.wav,Silence,0.39311406
4-186938-A-44.wav,Silence,0.39339066
1-53467-A-47.wav,Vehicle,0.20325728
4-218199-C-35.wav,Vehicle,0.5019366
5-184871-A-24.wav,Silence,0.35780802
1-79220-A-17.wav,Water,0.24212395
5-179863-A-43.wav,Silence,0.5622791
2-132157-B-11.wav,"Boat, Water vehicle",0.3581936
5-234263-A-25.wav,Silence,0.6631032
3-148932-A-34.wav,Silence,0.8958001
4-182369-A-12.wav,Fire,0.26582962
5-203128-A-0.wav,Roar,0.20297839
4-158653-A-32.wav,Silence,0.22209318
4-182041-A-30.wav,Silence,0.76304275
1-19840-A-36.wav,Vehicle,0.45376256
1-18655-A-31.wav,Silence,0.72638357
4-165823-A-41.wav,Vehicle,0.8616005
3-118657-A-41.wav,Vehicle,0.48217344
4-196671-A-8.wav,Speech,0.21691997
2-60180-B-49.wav,Roar,0.6482703
1-39835-B-9.wav,Speech,0.1616958
2-102567-C-35.wav,Vehicle,0.68284684
3-172881-A-48.wav,Explosion,0.8864306
3-97909-B-49.wav,Vehicle,0.3350857
4-125072-A-19.wav,Thunderstorm,0.35441175
5-193473-B-12.wav,"Crumpling, crinkling",0.59210837
3-145774-A-12.wav,"Inside, small room",0.16199382
4-201988-A-44.wav,Typing,0.64704525
3-118972-B-41.wav,Vehicle,0.44461998
5-198278-A-7.wav,Vehicle,0.22460362
5-187979-A-21.wav,Silence,0.82160914
2-108767-B-9.wav,Rustle,0.2539845
2-106015-A-44.wav,Music,0.54203403
1-196660-B-8.wav,Vehicle,0.18164264
3-118069-B-27.wav,"Inside, small room",0.19581823
2-139748-B-15.wav,Music,0.6142704
5-197913-A-18.wav,Water,0.3074251
4-184434-A-21.wav,Silence,0.73783123
3-246513-B-16.wav,Rumble,0.284405
1-56380-A-5.wav,Silence,0.30559006
2-50666-A-20.wav,Music,0.29024383
4-147657-A-46.wav,Vehicle,0.413852
4-180380-A-10.wav,Water,0.3087699
3-155642-A-11.wav,Ocean,0.5124005
4-218199-D-35.wav,Vehicle,0.7628743
2-166644-B-2.wav,Speech,0.14347532
4-188703-A-8.wav,Music,0.2145789
5-200339-A-1.wav,Animal,0.2679618
4-154405-B-27.wav,Scrape,0.15001199
4-197454-B-28.wav,Silence,0.35688016
5-156999-A-19.wav,Explosion,0.17521587
1-19118-A-24.wav,Silence,0.8931963
2-144137-A-43.wav,Silence,0.53829587
2-122066-B-45.wav,Vehicle,0.28836232
5-222041-A-9.wav,Animal,0.16034685
2-108761-A-14.wav,Animal,0.34731993
1-48298-A-46.wav,Music,0.70061064
2-72268-A-6.wav,Speech,0.22021332
1-82817-A-30.wav,Silence,0.8585642
5-219379-C-11.wav,Wind,0.18048017
2-81112-A-34.wav,Silence,0.83204144
3-143119-A-21.wav,Silence,0.750021
4-216211-A-14.wav,Animal,0.40198544
3-51731-B-42.wav,Music,0.6080383
4-186936-A-44.wav,Rail transport,0.13444254
4-198962-A-25.wav,Silence,0.53650075
1-17295-A-29.wav,Stomach rumble,0.1378128
4-59579-B-20.wav,Silence,0.5010656
2-32515-D-4.wav,Stomach rumble,0.25937107
1-81851-A-31.wav,Silence,0.44929975
5-209992-B-44.wav,Vehicle,0.5620035
4-189832-B-22.wav,Fireworks,0.8466545
4-264453-A-34.wav,Silence,0.4295697
1-103298-A-9.wav,Animal,0.18906476
4-188191-A-29.wav,Silence,0.41716197
4-172742-A-32.wav,Silence,0.53729945
1-28808-A-43.wav,Music,0.20236441
1-16568-A-3.wav,Silence,0.6785822
3-157149-A-10.wav,Water,0.6268855
4-212728-A-34.wav,Silence,0.6452653
4-119648-C-48.wav,Silence,0.40018433
3-152007-A-20.wav,Speech,0.14044827
5-253085-A-3.wav,Silence,0.18933657
2-50774-A-23.wav,Silence,0.7524541
5-243773-A-44.wav,Vibration,0.34100366
1-56311-A-10.wav,Vehicle,0.44184843
4-188191-B-29.wav,Silence,0.3835395
3-144891-B-19.wav,Eruption,0.4334085
1-17808-B-12.wav,"Rodents, rats, mice",0.24226935
2-87795-A-24.wav,Silence,0.15648334
3-136288-A-0.wav,Choir,0.21902242
1-27405-A-28.wav,Silence,0.42885095
2-96033-A-13.wav,Animal,0.7238102
4-165606-A-45.wav,Vehicle,0.38974884
3-155659-A-34.wav,Silence,0.51671636
2-32515-C-4.wav,Stomach rumble,0.17155649
5-220027-A-21.wav,Silence,0.7524075
5-181977-A-35.wav,Vehicle,0.49687928
1-87565-A-29.wav,Stomach rumble,0.17347209
