filename,prediction,confidence
artifact__201106131834.wav,Music,0.57309633
Aunlabelledtest__201106061215.wav,Silence,0.64682716
artifact__201106101955.wav,Explosion,0.21546216
normal__201101151127.wav,Static,0.14675552
artifact__201106220340.wav,Music,0.14445755
artifact__201105190800.wav,Silence,0.604691
normal__201102201230.wav,Silence,0.98251617
Aunlabelledtest__201108222241.wav,Silence,0.77169883
murmur__201102052338.wav,Silence,0.19743216
Aunlabelledtest__201106191034.wav,Speech,0.15265602
artifact__201106040722.wav,Sidetone,0.49767157
artifact__201106070949.wav,Vehicle,0.29005402
artifact__201106221254.wav,Vehicle,0.23284218
normal__201104122156.wav,"Heart sounds, heartbeat",0.27483973
normal__201108011112.wav,Silence,0.9488558
extrahls__201102070251.wav,Silence,0.99179304
Aunlabelledtest__201103241336.wav,Silence,0.7843295
extrahls__201101152255.wav,Silence,0.9963135
artifact__201106010602.wav,Vehicle,0.17486426
Aunlabelledtest__201108222254.wav,Silence,0.9260921
murmur__201108222232.wav,Silence,0.620279
Aunlabelledtest__201106061104.wav,Skateboard,0.14676757
normal__201102260502.wav,Silence,0.9309499
Aunlabelledtest__201103140236.wav,Silence,0.96643984
murmur__201104241315.wav,Wind,0.18309811
extrahls__201104140118.wav,Silence,0.9757834
extrahls__201101160804.wav,Silence,0.71308076
artifact__201106021541.wav,Silence,0.4257947
normal__201106221418.wav,Silence,0.49333143
artifact__201106010559.wav,Fire,0.14749753
Aunlabelledtest__201104012144.wav,"Heart sounds, heartbeat",0.39448148
artifact__201105061143.wav,Silence,0.53429097
Aunlabelledtest__201106150614.wav,Whistling,0.54143196
Aunlabelledtest__201106111419.wav,Silence,0.82332677
Aunlabelledtest__201108222257.wav,Silence,0.9277193
Aunlabelledtest__201012172010.wav,Silence,0.9106759
Aunlabelledtest__201108011116.wav,Silence,0.9456205
murmur__201101051114.wav,"Inside, small room",0.18653971
Aunlabelledtest__201106031556.wav,Silence,0.21947156
normal__201105021804.wav,Wind,0.16970249
normal__201108011114.wav,Silence,0.9817739
murmur__201102051443.wav,"Outside, rural or natural",0.24473011
artifact__201106110909.wav,Silence,0.281253
normal__201106210943.wav,Rustle,0.28994098
murmur__201108222252.wav,Silence,0.8575403
normal__201103221214.wav,Silence,0.9998663
extrahls__201104021355.wav,Silence,0.44832626
normal__201103140822.wav,"Heart sounds, heartbeat",0.19268477
artifact__201106161219.wav,Silence,0.24218406
normal__201104141251.wav,Silence,0.8730055
normal__201106151236.wav,Silence,0.34145844
artifact__201105040918.wav,Silence,0.96623063
Aunlabelledtest__201108222247.wav,Silence,0.92332566
extrahls__201103170134.wav,Silence,0.52174944
extrahls__201101241433.wav,"Heart sounds, heartbeat",0.65247804
murmur__201104291843.wav,Silence,0.676784
normal__201103140132.wav,Silence,0.95344687
extrahls__201101241423.wav,Silence,0.6178041
Aunlabelledtest__201108222222.wav,Silence,0.7980057
normal__201101070538.wav,Silence,0.9611936
extrahls__201101070953.wav,Silence,0.99998426
Aunlabelledtest__201101110659.wav,"Heart sounds, heartbeat",0.34722108
Aunlabelledtest__201103201314.wav,Silence,0.76184446
Aunlabelledtest__20110501548.wav,Wind,0.22609888
artifact__201106211041.wav,Silence,0.8037285
Aunlabelledtest__201102081033.wav,Silence,0.44078484
artifact__201106211430.wav,Silence,0.2597401
murmur__201108222253.wav,Silence,0.8355197
Aunlabelledtest__201101241434.wav,"Heart sounds, heartbeat",0.59967923
normal__201106221450.wav,Silence,0.7370133
normal__201105151450.wav,Silence,0.89899576
Aunlabelledtest__201108011111.wav,Silence,0.9692078
normal__201103140135.wav,Silence,0.86723286
murmur__201108222226.wav,Silence,0.88034123
murmur__201108222224.wav,Silence,0.8876355
artifact__201105280851.wav,"Boat, Water vehicle",0.26714683
Aunlabelledtest__201103200518.wav,Silence,0.9999992
Aunlabelledtest__201106170857.wav,Silence,0.25528535
murmur__201108222242.wav,Silence,0.72467
artifact__201105051017.wav,Fire,0.10657562
murmur__201108222233.wav,Silence,0.4917547
Aunlabelledtest__201106212102.wav,Silence,0.32057855
normal__201102081152.wav,"Beep, bleep",0.17401478
artifact__201106131835.wav,Music,0.648053
Aunlabelledtest__201108222228.wav,Silence,0.88298863
Aunlabelledtest__201106211725.wav,Silence,0.8689154
murmur__201108222248.wav,Silence,0.8894402
extrahls__201101161027.wav,Silence,0.27725863
artifact__201106050353.wav,Silence,0.18753865
artifact__201106141701.wav,Silence,0.6022153
artifact__201106031558.wav,Silence,0.27255973
extrahls__201101091153.wav,Silence,0.6349934
Aunlabelledtest__201106030607.wav,"Heart sounds, heartbeat",0.11216661
Aunlabelledtest__201108222234.wav,Silence,0.90241265
murmur__201101051104.wav,Silence,0.8559916
normal__201105021654.wav,Silence,0.15863913
artifact__201106161016.wav,Silence,0.7576899
normal__201103170121.wav,Silence,0.5215076
