filename,prediction,confidence
"EP76_N,N,A L U,31,M.wav",Animal,0.111294575
"EP93_N,N,P R M,75,M.wav",Noise,0.16530004
"BP13_Heart Failure,C,P L L,55,M.wav","Heart sounds, heartbeat",0.26357862
"BP23_Lung Fibrosis,Crep,P R L ,50,M.wav","Heart sounds, heartbeat",0.39551312
"EP67_heart failure,Crep,P R L ,24,F.wav","Heart sounds, heartbeat",0.3954238
"EP79_asthma,E W,A R U,46,M.wav",Speech,0.28935787
"BP24_heart failure,Crep,P R L ,76,F.wav",Stomach rumble,0.49298128
"DP32_N,N,A R L,30,M.wav",Vehicle,0.22795956
"DP83_N,N,A R U,18,F.wav",Vehicle,0.15481406
"EP58_asthma,E W,P L M,40,M.wav","Outside, rural or natural",0.13584813
"BP50_N,N,P R L ,27,M.wav",Sound effect,0.25788826
"DP36_pneumonia,Crep,P R M,36,F.wav",Animal,0.35312527
"EP21_BRON,Crep,P R L ,20,M.wav","Heart sounds, heartbeat",0.34912187
"BP69_pneumonia,Bronchial,P R L ,64,M.wav","Heart sounds, heartbeat",0.34732854
"BP16_heart failure,C,P R U,56,M.wav","Heart sounds, heartbeat",0.39935526
"EP44_asthma,E W,P R U,40,M.wav",Animal,0.1468234
"DP97_Asthma,E W,P R U,24,M.wav",Vehicle,0.1847784
"EP94_N,N,P L L,24,M.wav",Eruption,0.30658454
"BP109_N,N,P L M,26,M.wav","Heart sounds, heartbeat",0.374319
"DP25_copd,E W,P L L,76,M.wav",Gurgling,0.13723698
"DP105_Lung Fibrosis,Crep,A U R,44,M.wav",Throbbing,0.1518235
"EP64_asthma,E W,P L U,60,M.wav",Speech,0.13786258
"BP65_asthma,E W,P R L ,60,F.wav",Eruption,0.23618084
"BP41_pneumonia,Crep,P R M,51,M.wav","Heart sounds, heartbeat",0.5543864
"EP106_Asthma,E W,P L U,45,F.wav",Speech,0.22678366
"DP103_N,N,P R U,81,F.wav",Vehicle,0.20613009
"BP38_Asthma,E W,P R M,38,M.wav",Animal,0.5598534
"DP4_Heart Failure + Lung Fibrosis ,I C,P L R,72,F.wav",Stomach rumble,0.30985183
"BP45_heart failure,Crep,P R L ,30,M.wav",Eruption,0.32362285
"BP110_COPD,E W,P L L,62,M.wav",Gurgling,0.30359718
"EP66_heart failure,Crep,P R L ,43,M.wav",Wind,0.13242683
"DP24_heart failure,Crep,P R L ,76,F.wav",Stomach rumble,0.43605134
"EP52_Lung Fibrosis,Crep,P L L,76,F.wav",Vehicle,0.1723451
"DP107_Asthma,E W,P L U,59,F.wav",Speech,0.17269689
"BP37_pneumonia,Crep,A R L,70,F.wav",Music,0.32422268
"EP110_COPD,E W,P L L,62,M.wav",Animal,0.49984738
"DP28_BRON,Crep,P L U,68,F.wav","Heart sounds, heartbeat",0.28544274
"DP10_Asthma,E W,P R U,59,M.wav",Gurgling,0.25381956
"DP47_asthma,E W,P L M,60,M.wav",Rumble,0.1841909
"DP84_N,N,A R U,65,F.wav",Stomach rumble,0.30824625
"EP49_N,N,P R M,21,M.wav",Wind,0.14469434
"DP40_heart failure,Crep,A R M,26,M.wav",Animal,0.22025724
"BP39_heart failure,Crep,P R L ,67,M.wav","Heart sounds, heartbeat",0.4128133
"DP46_asthma,E W,P L U,41,F.wav",Animal,0.4525124
"EP82_N,N,P L U,38,M.wav",Throbbing,0.15898097
"EP4_Heart Failure + Lung Fibrosis ,I C,P L R,72,F.wav","Heart sounds, heartbeat",0.24426372
"DP55_asthma,E W,P R U,72,F.wav",Gurgling,0.26537484
"EP41_pneumonia,Crep,P R M,51,M.wav",Throbbing,0.2194201
"BP22_BRON,Crep,P R U,24,M.wav",Vehicle,0.25541717
"BP18_pneumonia,C,P R U,57,M.wav","Heart sounds, heartbeat",0.7109701
"BP68_asthma,E W,P R L ,21,F.wav",Eruption,0.25891325
"EP17_COPD,E W,A R M,57,M.wav","Outside, rural or natural",0.15146668
"BP63_COPD,E W,P R L ,58,F.wav","Heart sounds, heartbeat",0.21233077
"BP67_heart failure,Crep,P R L ,24,F.wav","Heart sounds, heartbeat",0.5651428
"DP13_Heart Failure,C,P L L,55,M.wav",Stomach rumble,0.24169241
"BP77_Asthma,E W,A R L,40,M.wav","Heart sounds, heartbeat",0.80197364
"DP92_N,N,P L L ,43,M.wav",Vehicle,0.28004667
"BP35_Asthma,E W,A R L,38,M.wav","Heart sounds, heartbeat",0.45939207
"EP78_Asthma,E W,P R M,20,M.wav",Animal,0.34298807
"DP86_N,N,P R U,68,F.wav",Throbbing,0.10056234
"DP109_N,N,P L M,26,M.wav",Vehicle,0.22151752
"DP20_Asthma and lung fibrosis,C,A R M,90,M.wav",Vehicle,0.20003782
"EP3_Asthma,I E W,P L L R,50,F.wav",Animal,0.15276235
"EP30_N,N,P R M,18,F.wav",Vehicle,0.17116
